titles,released,developers,publishers
Tales of Symphonia,22-09-2004,Namco Tales Studio,Namco
Tam Tam Paradise,09-08-2001,Global A,Global A
Tamayura,29-06-2006,Yeti,Yeti
Tank Elite•Simple 2000 Series Vol. 32: The SenshaJP,26-06-2003,Vingt-et-un Systems,"D3 PublisherJP, AgetecEU"
Tantei Gakuen Q,18-12-2003,Konami,Konami
Tantei Jinguuji Saburou: Innocent Black,24-10-2002,WorkJam,WorkJam
Tantei Jinguuji Saburou: Kind of Blue,22-04-2004,WorkJam,WorkJam
The Taxi 2•Simple 2000 Series Vol. 109: The Taxi 2JP,12-10-2006,Tamsoft,D3 Publisher
Taxi 3,23-02-2003,Ubisoft Montreal,Ubisoft
Taxi Rider•Simple 2000 Series Vol. 48: The Taxi: Utenshu wa Kimi daJP,08-04-2004,Tamsoft,"D3 PublisherJP, 505 Game StreetEU"
Taz Wanted,17-09-2002,Blitz Games,Infogrames
TBS All-Star Kansha Matsuri 2003-Aki Chou Gouka! Quiz Ketteiban,25-09-2003,Hudson Soft,Hudson Soft
TearRing Saga Series: Berwick Saga,26-05-2005,Enterbrain,Enterbrain
Technicbeat,07-11-2002,Arika,"Arika, Mastiff"
Technictix,25-01-2001,Arika,Arika
Tecmo Hit Parade,25-11-2004,Tecmo,Tecmo
Teen Titans,24-05-2006,Artificial Mind and Movement,THQ
Teenage Mutant Ninja Turtles,21-10-2003,Konami,Konami
Teenage Mutant Ninja Turtles 2: Battle Nexus,19-10-2004,Konami,Konami
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,01-11-2005,Konami,Konami
Teenage Mutant Ninja Turtles: Mutant Melee,14-10-2005,Konami,Konami
Teenage Mutant Ninja Turtles: Smash-Up,22-09-2009,Game Arts,Ubisoft
Teikoku Sensenki,25-11-2004,Interchannel,Interchannel
Teitoku no Ketsudan IV with Power-Up Kit,26-02-2004,Koei,Koei
Tekken 4,28-03-2002,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU"
Tekken 5,24-02-2005,Namco,Namco
Tekken Tag Tournament,30-03-2000,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU"
Telly Addicts,23-11-2007,Ubisoft,Ubisoft
"Tenchu: Fatal Shadows•Tenchu KurenaiAS,JP,KO",22-07-2004,K2 LLC,"FromSoftwareAS,JP,KO, SegaEU,NA"
Tenchu: Wrath of Heaven•Tenchu SanJP•Tenchu 3: Wrath of HeavenKO,03-03-2003,K2 LLC,"FromSoftwareJP,KO, ActivisionEU,NA"
Tengai•Tengai Premium PackageKO,29-07-2005,Psikyo,Taito
Tengai Makyō II: Manji Maru,02-10-2003,Hudson Soft,Hudson Soft
Tengai Makyō III: Namida,14-04-2005,Hudson Soft,Hudson Soft
Tenka-bito,02-03-2006,Shade,Sega
Tenkuu Danzai Skelter Heaven,25-11-2004,Design Factory,Idea Factory
Tennis Court Smash•Simple 2000 Series Vol. 8: The TennisJP,12-09-2002,HuneX,"D3 PublisherJP, AgetecEU"
Tennis Masters Series 2003,25-07-2003,Microids,Microids
Tennis no Oji-Sama: Card Hunter,22-02-2007,WinkySoft,Konami
Tennis no Oji-Sama: DokiDoki Survival – Sanroku no Mystic,21-12-2006,WinkySoft,Konami
Tennis no Oji-Sama: DokiDoki Survival – Umibe no Secret,25-01-2007,WinkySoft,Konami
Tennis no Oji-Sama: Gakuensai no Oji-Sama,22-12-2005,WinkySoft,Konami
Tennis no Oji-Sama: Kiss of Prince Flame,30-10-2003,WinkySoft,Konami
Tennis no Oji-Sama: Kiss of Prince Ice,30-10-2003,WinkySoft,Konami
Tennis no Oji-Sama: Love of Prince Bitter,12-02-2004,WinkySoft,Konami
Tennis no Oji-Sama: Love of Prince Sweet,12-02-2004,WinkySoft,Konami
Tennis no Oji-Sama: Rush & Dream!,09-12-2004,Konami,Konami
Tennis no Oji-Sama: Saikyou Team o Kessei Seyo!,16-09-2004,Konami,Konami
Tennis no Oji-Sama: Smash Hit!,24-07-2003,Konami,Konami
Tennis no Oji-Sama: Smash Hit! 2,18-12-2003,Konami,Konami
Tennis no Oji-Sama: Sweat & Tears 2,25-09-2003,Konami,Konami
"Tenohirao, Taiyouni: Eikyuu no Kizuna",25-03-2004,PrincessSoft,PrincessSoft
Tensai Bit-Kun: Gramon Battle,18-09-2003,Tose,Taito
Tensei Hakkenshi Fuumaroku,08-06-2006,Vridge,Success
Tenshi no Present - Marl Ōkoku Monogatari,21-12-2000,Nippon Ichi Software,Nippon Ichi Software
Tenshou Gakuen Gekkouroku,22-11-2006,Asmik Ace,Asmik Ace
Tenshou Gakuen Gensouroku,27-05-2004,Asmik Ace,Asmik Ace
Tentama: 1st Sunnyside,30-10-2003,KID,KID
Tentama 2: Wins,26-02-2004,KID,KID
Terminator 3: The Redemption,02-09-2004,Paradigm Entertainment,Atari
Terminator 3: Rise of the Machines,11-11-2003,Black Ops Entertainment,Atari
Terminator: Dawn of Fate,16-09-2002,Paradigm Entertainment,Infogrames
Test Drive•TD Overdrive: The Brotherhood of SpeedEU,28-05-2002,Pitbull Syndicate,Atari
Test Drive: Eve of Destruction•Driven to DestructionEU,07-09-2004,Monster Games,Atari
Test Drive Off-Road: Wide Open•Off-Road Wide OpenEU,24-08-2001,Angel Studios,Infogrames
Test Drive Unlimited,16-03-2007,Melbourne House,Atari
Tetris Worlds,20-03-2002,Blue Planet Software,THQ
Tetris: Kiwame Michi•SuperLite 2000 Puzzle: Tetris: Kiwame MichiEU,18-12-2003,Blue Planet Software,THQ
Tetsu 1: Densha de Battle!,05-07-2001,Vingt-et-un Systems,Syscom
Tetsujin 28-go,01-07-2004,Sandlot,Bandai
Theme Park Roller Coaster•Theme Park WorldEU•Theme Park 2001JP,04-12-2000,Bullfrog Productions,Electronic Arts
They Came from the Skies,24-08-2007,Midas Interactive Entertainment,Midas Interactive Entertainment
The Thing•Yuusei Kara no Buutai X: Episode IIJP,20-08-2002,Computer Artworks,"Black Label GamesEU,NA, KonamiJP"
Thomas & Friends: A Day at the Races,24-08-2007,Blast! Entertainment Ltd,Blast! Entertainment Ltd
Thread Colors: Sayonara no Mukougawa,14-11-2002,HuneX,D3 Publisher
Thrillville,21-11-2006,Frontier Developments,"LucasArtsNA, AtariPAL"
Thrillville: Off the Rails,09-10-2007,Frontier Developments,LucasArts
Thunder Force VI,30-10-2008,Sega,Sega
Thunderbirds,06-07-2007,Pukka Games,Blast! Entertainment Ltd
Thunderstrike: Operation Phoenix•Thunderhawk: Operation PhoenixEU,12-10-2001,Core Design,Eidos Interactive
Tiger Woods PGA Tour 06,20-09-2005,EA Redwood Shores,EA Sports
Tiger Woods PGA Tour 07,21-09-2006,EA Redwood Shores,EA Sports
Tiger Woods PGA Tour 08,28-08-2007,EA Tiburon,EA Sports
Tiger Woods PGA Tour 09,26-08-2008,EA Tiburon,EA Sports
Tiger Woods PGA Tour 10,08-06-2009,EA Tiburon,EA Sports
Tiger Woods PGA Tour 2001,26-02-2001,EA Redwood Shores,EA Sports
Tiger Woods PGA Tour 2002,24-02-2002,EA Redwood Shores,EA Sports
Tiger Woods PGA Tour 2003,27-10-2002,EA Redwood Shores,EA Sports
Tiger Woods PGA Tour 2004,22-09-2003,EA Redwood Shores,EA Sports
Tiger Woods PGA Tour 2005,20-09-2004,EA Redwood Shores,EA Sports
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge•Tim Burton's The Nightmare Before Christmas: Boogy no GyakushuuJP,21-10-2004,Capcom,"CapcomJP, Buena Vista GamesEU,NA"
Time Crisis II,01-10-2001,Namco,"NamcoJP,NA, Sony Computer EntertainmentEU"
Time Crisis 3,21-10-2003,Nextech,"NamcoJP,NA, Sony Computer EntertainmentEU"
Time Crisis: Crisis Zone•Crisis ZonePAL,17-09-2004,Namco,"NamcoKO,NA, Sony Computer EntertainmentPAL"
TimeSplitters,26-10-2000,Free Radical Design,Eidos Interactive
TimeSplitters 2•TimeSplitter: Jikuu no ShinryakushaJP,08-10-2002,Free Radical Design,Eidos Interactive
TimeSplitters: Future Perfect,21-03-2005,Free Radical Design,EA Games
Tir Na Nog: Yuukyuu no Jin,29-04-2009,SystemSoft,SystemSoft
Titeuf: Mega Compet,24-09-2004,Eden Studios,Atari
TMNT,20-03-2007,Ubisoft Montreal,Ubisoft
TNA Impact!,09-09-2008,Midway Games,Midway Games
To Heart 2,28-12-2004,Leaf,Aquaplus
TOCA Race Driver 2•V8 Supercars Australia 2AU,05-10-2004,Codemasters,"CodemastersNA,PAL, InterchannelJP"
TOCA Race Driver 3•DTM Race Driver 3EU•V8 Supercars 3AU,22-02-2006,Codemasters,"CodemastersNA,PAL, InterchannelJP"
Togainu no Chi: True Blood,29-05-2008,Kadokawa Games,Kadokawa Games
Tokimeki Memorial 2: Music Video Clips: Circus de Ai Imashou,18-04-2002,Konami,Konami
Tokimeki Memorial 3,20-12-2001,Konami,Konami
Tokimeki Memorial Girl's Side,20-06-2002,Konami,Konami
Tokimeki Memorial Girl's Side: 2nd Kiss,03-08-2006,Konami,Konami
Tokobot Plus: Mysteries of the Karakuri•Korobot AdventureJP,24-10-2006,Tecmo,"TecmoJP,NA, Take-Two InteractivePAL"
The Tokudane•Simple 2000 Series Vol. 75: The TokudaneJP,31-03-2005,Tomcat System,D3 Publisher
Tokyo Bus Annai•SuperLite 2000: Tokyo Bus AnnaiJP,10-05-2001,Fortyfive,Success
Tokyo Bus Annai 2•SuperLite 2000: Tokyo Bus Annai 2JP,08-09-2005,Success,Success
Tokyo Majin Gakuen: Kaihoujyou Kefurokou,12-08-2004,Marvelous Entertainment,Marvelous Entertainment
Tokyo Road Race•Battle Gear 2JP,22-03-2001,Taito,"TaitoJP, Midas Interactive EntertainmentEU"
Tokyo Xtreme Racer: 3•Shutokou Battle 01JP,24-07-2003,Genki,"GenkiJP, Crave EntertainmentNA"
"Tokyo Xtreme Racer: Drift•Kaido Battle: Nikko, Haruna, Rokko, HakoneJP",27-02-2003,Genki,"GenkiJP, Crave EntertainmentNA"
Tokyo Xtreme Racer: Drift 2•Kaido Racer 2PAL•Kaido: Touge no DensetsuJP,28-07-2005,Genki,"GenkiJP, KonamiPAL, Crave EntertainmentNA"
Tokyo Xtreme Racer: Zero•Shutokou Battle 0JP•Tokyo Xtreme RacerEU,15-03-2001,Genki,"GenkiJP, Crave EntertainmentEU,NA"
Tom and Jerry in War of Whiskers•Tom & Jerry: Hige Hige DaisensouJP,22-10-2002,VIS Entertainment,"NewKidCoNA, UbisoftEU, SuccessJP"
Tom Clancy's Ghost Recon,01-12-2002,Red Storm Entertainment,Ubisoft
Tom Clancy's Ghost Recon 2,26-11-2004,Red Storm Entertainment,Ubisoft
Tom Clancy's Ghost Recon Advanced Warfighter,28-03-2006,Ubisoft Paris,Ubisoft
Tom Clancy's Ghost Recon: Jungle Storm,12-03-2004,Red Storm Entertainment,Ubisoft
Tom Clancy's Rainbow Six 3,24-03-2004,Ubisoft Shanghai,Ubisoft
Tom Clancy's Rainbow Six: Lockdown,06-09-2005,Red Storm Entertainment,Ubisoft
Tom Clancy's Splinter Cell,28-03-2003,Ubisoft Shanghai,Ubisoft
Tom Clancy's Splinter Cell: Chaos Theory,28-03-2005,Ubisoft Montreal,Ubisoft
Tom Clancy's Splinter Cell: Double Agent•Tom Clancy's Splinter Cell Nijuu SpyJP,24-10-2006,Ubisoft Montreal,Ubisoft
Tom Clancy's Splinter Cell: Pandora Tomorrow,11-06-2004,Ubisoft Shanghai,Ubisoft
Tomak: Save the Earth,19-12-2002,Seed9 Entertainment,Sunsoft
Tomak: Save the Earth – Complete Edition,23-01-2003,Seed9 Entertainment,Seed9 Entertainment
Tomb Raider: The Angel of Darkness•Tomb Raider: Utsukushiki TouboushaJP,20-06-2003,Core Design,Eidos Interactive
Tomb Raider: Anniversary,01-06-2007,Crystal Dynamics,Eidos Interactive
Tomb Raider: Legend,07-04-2006,Crystal Dynamics,"Eidos InteractiveNA,PAL, SpikeJP"
Tomb Raider: Underworld,23-01-2009,Buzz Monkey Software,"Eidos InteractiveNA,PAL, SpikeJP"
Tomoyo After: It's a Wonderful Life – CS Edition,25-01-2007,Key,Prototype
Tony Hawk's American Wasteland,18-10-2005,Neversoft,Activision
Tony Hawk's Downhill Jam,08-05-2007,SuperVillain Studios,Activision
Tony Hawk's Pro Skater 3,28-10-2001,Neversoft,Activision
Tony Hawk's Pro Skater 4,23-10-2002,Neversoft,Activision
Tony Hawk's Project 8,07-11-2006,Shaba Games,Activision
Tony Hawk's Proving Ground,15-10-2007,Page 44 Studios,Activision
Tony Hawk's Underground,27-10-2003,Neversoft,Activision
Tony Hawk's Underground 2,04-10-2004,Neversoft,Activision
Top Angler•Real Bass Fishing: Top AnglerJP,07-03-2002,SIMS,"SIMSJP, Xicat InteractiveNA, THQEU"
Top Gear: Dare Devil,11-12-2000,Papaya Studio,Kemco
Top Gun,05-10-2007,Atomic Planet Entertainment,Blast! Entertainment
Top Gun: Combat Zones•Top Gun: Ace of the SkyJP,21-10-2001,Titus Software,Titus Software
Top o Nerae! GunBuster,03-02-2005,Shade,Bandai
Top Spin,26-09-2005,PAM Development,2K Sports
Top Trumps: Doctor Who,16-05-2008,Rockpool Games,Eidos Interactive
Top Trumps Adventures: Dogs and Dinosaurs,12-10-2007,Ironstone Partners,Ubisoft
Top Trumps Adventures: Horror and Predators,12-10-2007,Ironstone Partners,Ubisoft
Topai! Dramatic Mahjong•Simple 2000 Ultimate Series Vol. 14: Topai! Dramatic MahjongJP,11-12-2003,Agenda,D3 Publisher
Torakapuu! Dash!!,17-07-2003,Pulltop,Well Made
Tori no Hoshi: Aerial Planet,28-02-2008,Nippon Ichi Software,Nippon Ichi Software
Torikago no Mukougawa,27-07-2006,Takuyo,Takuyo
Torino 2006,24-01-2006,49Games,2K Sports
Toro to Kyuujitsu,29-11-2001,Sony Computer Entertainment,Sony Computer Entertainment
Torrente 3: The Protector,01-02-2006,Virtual Toys,Virgin Play
Total Club Manager 2004•Football Manager 2004EU•LFP Manager 2004FR,12-12-2003,Budcat Creations,Electronic Arts
Total Club Manager 2005•Football Manager 2005EU•LFP Manager 2005FR,29-10-2004,Budcat Creations,Electronic Arts
Total Immersion Racing,01-11-2002,Razorworks,Empire Interactive
Total Overdose: A Gunslinger's Tale in Mexico•Total OverdoseEU,16-09-2005,Deadline Games,Eidos Interactive
Totally Spies! Totally Party,18-10-2007,Mad Monkey,"UbisoftPAL, Valcon GamesNA"
The Toubou Prisoner•Simple 2000 Series Vol. 110: The Toubou PrisonerJP,12-10-2006,Tamsoft,D3 Publisher
Toudai Shogi: Jouseki Dojo Kanketsuhen,09-09-2004,Mycom,Mycom
Toudai Shogi: Shikenbisha Dojo,07-12-2000,Mycom,Mycom
Tough: Dark Fight,01-12-2005,Konami,Konami
Touka Gettan: Koufuu no Ryouou,01-10-2009,Root,Kadokawa Games
Toukon Inoki Michi: Puzzle de Daa!,19-12-2002,Matrix Software,Pacific Century Cyber Works
Tourist Trophy,02-02-2006,Polyphony Digital,Sony Computer Entertainment
The Tousou Highway 2: Road Warrior 2050•Simple 2000 Series Vol. 112: The Tousou Highway 2: Road Warrior 2050JP,28-12-2006,Tamsoft,D3 Publisher
Towa no Sakura,27-09-2007,Vingt-et-un Systems,Idea Factory
Toy Golf Extreme,14-03-2008,Zoo Digital Publishing,Zoo Digital Publishing
Toy Story 3: The Video Game,15-06-2010,Avalanche Software,Disney Interactive Studios
The Toys Room,06--2006,Phoenix Games,Phoenix Games
Train Kit for A-Ressha de Ikou 2001 (Expansion),26-07-2001,Artdink,Artdink
Train Simulator + Densha de Go! Tokyo Kyuukouhen,18-12-2003,Ongakukan,Ongakukan
Train Simulator: Keisei – Toei – Keikyu,25-08-2005,Ongakukan,Ongakukan
Train Simulator: Kyuushuu Shinkansen,28-09-2005,Ongakukan,Ongakukan
Train Simulator Midousuji-Sen,22-10-2003,Ongakukan,Ongakukan
Transformers,30-10-2003,Winkysoft,Takara
Transformers,07-05-2004,Melbourne House,Atari
Transformers: The Game,26-06-2007,Traveller's Tales,Activision
Transformers: Revenge of the Fallen,23-06-2009,Krome Studios,Activision
Transworld Skateboarder,26-01-2007,Phoenix Games,Phoenix Games
Transworld Surf,30-04-2002,Rockstar San Diego,Infogrames
Trapt•Kagero 2: Dark IllusionJP,30-06-2005,Tecmo,"TecmoJP,NA, Take-Two InteractiveEU"
Triangle Again,09-01-2003,"KiKi Co., Ltd.",MIG Entertainment
Triangle Again 2,26-06-2003,"KiKi Co., Ltd.",MIG Entertainment
Tribes: Aerial Assault,23-09-2002,Inevitable Entertainment,Sierra Entertainment
Trigger Man,05-10-2004,Point of View,"Crave EntertainmentNA, Play It!EU"
Triggerheart Exelica Enhanced,26-03-2009,Alchemist,Alchemist
Triple Play 2002,11-03-2002,Pandemic Studios,Electronic Arts
Triple Play Baseball,12-03-2001,EA Sports,EA Sports
Trivial Pursuit,10-03-2009,EA Bright Light,Electronic Arts
Trivial Pursuit: Unhinged•Trivial Pursuit: UnlimitedEU,24-03-2004,Artech Studios,Atari
Trouble Fortune Company * Happy Cure,25-01-2007,Primavera,Primavera
Truck Kyousokyoku,14-12-2000,"Namco, Metro",Metro
Truck Racer,25-06-2009,Brain in a Jar,Nordic Games
Truck Racing 2,28-10-2005,Brain in a Jar,Midas Interactive Entertainment
True Crime: New York City,15-11-2005,Luxoflux,"ActivisionEU,NA, SpikeJP"
True Crime: Streets of LA,03-11-2003,Luxoflux,"ActivisionEU,NA, CapcomJP"
True Fortune,25-09-2008,Enterbrain,Enterbrain
True Love Story 3,05-04-2001,Enterbrain,Enterbrain
"True Love Story: Summer Days, and Yet...",24-07-2003,Enterbrain,Enterbrain
True Tears,07-08-2008,La'cryma,Sweets
Tsugunai: Atonement•TsugunaiJP,22-02-2001,Cattle Call,"Sony Computer EntertainmentJP, AtlusNA"
Tsuki no Hikari: Shizumeru Kane no Satsujin,23-05-2002,Open Sesame,Victor Interactive Software
Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,07-10-2004,August,Alchemist
Tsuki wa Kirisaku,24-02-2005,Idea Factory,Idea Factory
Tsuyo Kiss 2 Gakki: Swift Love,30-07-2009,Revolution,Revolution
Tsuyo Kiss: Mighty Heart,25-05-2006,PrincessSoft,PrincessSoft
TT Superbikes Legends,28-11-2008,Jester Interactive,Jester Interactive
Turbo Trucks,06--2006,Phoenix Games,Phoenix Games
Turok: Evolution,28-08-2002,Acclaim Studios Austin,Acclaim Entertainment
Twenty 2 Party•Simple 2000 Series Vol. 18: The Party SugorokuJP,19-12-2002,Japan Art Media,"D3 PublisherJP, 505 Game StreetEU"
Twin Caliber,01-11-2002,Rage Software,Rage Software
Twinkle Star Sprites: La Petite Princesse,28-07-2005,SNK Playmore,SNK Playmore
Twisted Metal: Black,18-06-2001,Incognito Entertainment,Sony Computer Entertainment
Twisted Metal: Black Online,27-08-2002,Incognito Entertainment,Sony Computer Entertainment
Twisted Metal: Head-On – Extra Twisted Edition,05-02-2008,Eat Sleep Play,Sony Computer Entertainment
Ty the Tasmanian Tiger,09-10-2002,Krome Studios,Electronic Arts
Ty the Tasmanian Tiger 2: Bush Rescue,12-10-2004,Krome Studios,Electronic Arts
Ty the Tasmanian Tiger 3: Night of the Quinkan,12-10-2005,Krome Studios,Activision
Typing Kengo: Musashi no Ken,17-01-2002,Racjin,Sunsoft
The Typing of the Dead: Zombie Panic,22-12-2004,Sega,Sega
Typing Renai Hakusho: Boys Be...,14-03-2002,Racjin,Sunsoft
U-Move Super Sports,15-07-2004,Konami,Konami
Uchu-jintte Naani?,27-09-2001,Taito,Taito
Uchuu Keiji Tamashii: The Space Sheriff Spirits,25-05-2006,Digifloyd,Bandai
Uchuu no Stellvia,22-01-2004,Digifloyd,Bandai
Uchuu Senkan Yamato: Ankoku Seidan Teikoku no Gyakushuu,27-01-2005,Bandai,Bandai
Uchuu Senkan Yamato: Iscandar he no Tsuioku,06-10-2004,Bandai,Bandai
Uchuu Senkan Yamato: Nijuu Ginga no Houkai,07-04-2005,Bandai,Bandai
The Uchuujin to Hanashi Sou!•Simple 2000 Series Vol. 59: The Uchuujin to Hanashi Sou!JP,26-08-2004,Taito,D3 Publisher
UEFA Challenge,29-06-2001,Infogrames,Infogrames
UEFA Champions League 2004–2005,04-02-2005,EA Canada,EA Sports
UEFA Champions League 2006–2007,20-03-2007,EA Canada,EA Sports
UEFA Champions League Season 2001/2002,01-02-2002,Silicon Dreams,Take-Two Interactive
UEFA Euro 2004,04-05-2004,EA Canada,EA Sports
UEFA Euro 2008: Austria-Switzerland,17-04-2008,EA Canada,EA Sports
Ueki no Housoku: Taosu ze Robert Juudan!!,26-01-2006,Bandai,Bandai
UFC: Sudden Impact,21-04-2004,Opus,"Global Star SoftwareNA, Marvelous EntertainmentJP"
UFC: Throwdown,03-06-2002,Crave Entertainment,"Crave EntertainmentKO,NA, CapcomJP, UbisoftEU"
Ultimate Board Game Collection,11-07-2006,Jack of All Games,"Valcon GamesNA, Empire InteractiveEU"
Ultimate Casino•Simple 2000 Honkaku Shikou Series Vol. 6: The CardJP,06-11-2003,Amedio,"D3 PublisherJP, 505 Game StreetEU"
Ultimate Mind Games•Simple 2000 Series Vol. 10: The Table Game SekaihenJP,12-09-2002,Yuki,"D3 PublisherJP, Midas Interactive EntertainmentEU"
The Ultimate Music Quiz,14-10-2005,Oxygen Games,Liquid Games
Ultimate Pro Pinball,22-07-2005,Atomic Planet Entertainment,"XplosivEU, TaitoJP"
Ultimate Spider-Man,22-09-2005,Treyarch,"ActivisionNA,PAL, TaitoJP"
The Ultimate Sport Quiz,05--2005,Oxygen Games,Liquid Games
The Ultimate Trivia Quiz,24-02-2006,Oxygen Games,Liquid Games
The Ultimate TV & Film Quiz,05--2005,Oxygen Games,Liquid Games
The Ultimate World Cup Quiz,12-05-2006,Oxygen Games,Liquid Games
Ultraman,20-05-2004,KAZe,Bandai
Ultraman Fighting Evolution 2,31-10-2002,Banpresto,Banpresto
Ultraman Fighting Evolution 3,02-12-2004,Banpresto,Banpresto
Ultraman Fighting Evolution Rebirth,27-10-2005,Banpresto,Banpresto
Ultraman Nexus,26-05-2005,Bandai,Bandai
Umisho,22-11-2007,5pb,5gk
Under the Moon: Crescent,25-06-2009,Sugar Beans,Dimple Entertainment
Under the Skin•Meiwaku Seijin: Panic MakerJP,05-08-2004,Capcom,Capcom
Underworld: The Eternal War,09-01-2004,Lucky Chicken Games,Play it!
Unison: Rebels of Rhythm & Dance,30-11-2000,Tecmo,Tecmo
Unlimited SaGa,19-12-2002,SquareSoft,"SquareSoftJP, Square EnixNA, AtariEU"
Uno•SuperLite 2000 Table: UnoJP,11-03-2004,Success,Success
The Unou Drill•Simple 2000 Series Vol. 93: The Unou DrillJP,09-03-2006,Luxe,Success
Unreal Tournament,26-10-2000,"Epic Games, Digital Extremes",Infogrames
Up,26-05-2009,Asobo Studio,THQ
Uragiri wa Boku no Namae o Shitteiru,28-10-2010,Kadokawa Games,Kadokawa Games
Urawaza Ikasa Mahjong Machi•Simple 2000 Ultimate Series Vol. 4: Urawaza Ikasa Mahjong MachiJP,24-10-2002,Agenda,D3 Publisher
Urban Chaos: Riot Response,19-05-2006,Rocksteady Studios,"Eidos InteractiveEU,NA, SpikeJP"
Urban Constructor,30-09-2005,Phoenix Games,Phoenix Games
Urban Extreme,23-06-2006,Data Design Interactive,Metro3D
Urban Freestyle Soccer,13-02-2004,Silicon Dreams,Acclaim Entertainment
Urban Reign,13-09-2005,Namco,Namco
The Urbz: Sims in the City,09-11-2004,Maxis,Electronic Arts
Ururun Quest: Koiyuuki•Simple 2000 Ultimate Series Vol. 33: Ururun Quest: KoiyuukiJP,28-07-2005,Vingt-et-un Systems,D3 Publisher
US Open 2002,06-02-2003,Strategy First,Taito
USA Racer,14-06-2002,Davilex Games,Davilex Games
Usagi: Yasei no Topai,27-06-2002,DigiCube,DigiCube
Usagi: Yasei no Topai – The Arcade,27-03-2003,DigiCube,DigiCube
Usagi: Yasei no Topai The Arcade – Yamashiro Mahjong-Hen,16-09-2004,Warashi,Taito
Usagi: Yasei no Topai – Yamashiro Mahjong-Hen,27-11-2003,Sammy Studios,Sammy Studios
Utau * Tumbling Dice,26-08-2004,Ecole,Reindeer
Utawarerumono: Chiriyukusha e no Komoriuta,26-10-2006,Sting Entertainment,Aquaplus
V-Rally 3,21-06-2002,Eden Studios,Infogrames
V.I.P.,30-08-2002,Ubisoft,Ubisoft
Valkyrie Profile 2: Silmeria,22-06-2006,tri-Ace,Square Enix
Vampire: Darkstalkers Collection,19-05-2005,Capcom,Capcom
Vampire Night,14-11-2001,Wow Emtertainment,"NamcoJP,NA, Sony Computer EntertainmentEU"
